Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,% change during the day,VWAP,Total Traded Quantity,Turnover,No. of,Deliverable,% Dly Qt to
YESBANK,EQ,15-Feb-21,16.4,16.4,16.6,16.15,16.25,16.25,-0.90%,16.32,"6,40,57,989","1,04,52,66,640.10","81,999","2,82,12,694",44.04
YESBANK,EQ,16-Feb-21,16.25,16.25,16.35,15.95,16.05,16.05,-1.20%,16.06,"7,74,78,438","1,24,45,76,622.50","94,135","3,75,79,101",48.5
YESBANK,EQ,17-Feb-21,16.05,16.05,16.1,15.75,15.9,15.9,-0.90%,15.9,"8,75,86,901","1,39,23,83,134.95","1,07,855","3,95,24,643",45.13
YESBANK,EQ,18-Feb-21,15.9,15.85,16.55,15.65,16.15,16.15,1.60%,16.13,"17,27,25,915","2,78,57,77,864.10","1,27,133","5,45,76,610",31.6
YESBANK,EQ,19-Feb-21,16.15,16.15,16.3,15.85,16.05,15.95,-1.20%,16.08,"9,47,98,271","1,52,42,46,048.40","80,883","3,47,82,506",36.69
YESBANK,EQ,22-Feb-21,15.95,16,16,15.55,15.55,15.6,-2.20%,15.7,"7,53,67,244","1,18,36,14,576.60","85,540","3,37,99,332",44.85
YESBANK,EQ,23-Feb-21,15.6,15.6,15.75,15.5,15.65,15.6,0.00%,15.63,"6,51,78,836","1,01,85,10,762.80","66,978","2,59,10,602",39.75
YESBANK,EQ,24-Feb-21,15.6,15.8,16.4,15.7,16.05,16.1,3.20%,16.09,"10,04,96,229","1,61,68,74,100.10","55,545","3,02,45,590",30.1
YESBANK,EQ,25-Feb-21,16.1,16.1,16.35,16.05,16.1,16.1,0.00%,16.17,"6,92,77,131","1,12,04,22,414.45","60,653","3,11,28,513",44.93
YESBANK,EQ,26-Feb-21,16.1,15.8,15.95,15.65,15.8,15.75,-2.20%,15.78,"11,59,22,281","1,82,90,39,640.45","1,16,880","5,57,22,196",48.07
YESBANK,EQ,01-Mar-21,15.75,15.95,16.9,15.75,16.4,16.3,3.50%,16.35,"18,29,12,199","2,99,08,92,243.20","1,07,931","4,95,52,537",27.09
YESBANK,EQ,02-Mar-21,16.3,16.5,16.65,16.25,16.3,16.3,0.00%,16.39,"8,21,98,118","1,34,73,76,241.40","68,240","2,99,23,122",36.4
YESBANK,EQ,03-Mar-21,16.3,16.4,16.55,16.25,16.35,16.35,0.30%,16.41,"9,52,62,247","1,56,28,98,823.05","74,550","3,46,39,573",36.36
YESBANK,EQ,04-Mar-21,16.35,16.25,16.75,16.05,16.65,16.6,1.50%,16.49,"14,75,02,225","2,43,20,44,341.05","77,456","5,10,35,182",34.6
YESBANK,EQ,05-Mar-21,16.6,16.6,16.9,16.3,16.4,16.35,-1.50%,16.59,"10,20,85,430","1,69,33,53,607.80","70,930","3,75,73,526",36.81
YESBANK,EQ,08-Mar-21,16.35,16.55,16.65,16.25,16.3,16.25,-0.60%,16.45,"6,74,24,765","1,10,88,90,447.35","56,209","2,54,03,355",37.68
